ISO code,Population,Value,Rank,
"AFG","Afghanistan","3.11","1",
"ALB","Albania","4.86","1",
"DZA","Algeria","5.62","1",
"AGO","Angola","3.68","2",
"AZE","Azerbaijan","3.72","1",
"ARG","Argentina","8.34","1",
"AUS","Australia","10.5","1",
"AUT","Austria","7.47","1",
"BHS","Bahamas","6.7","1",
"BHR","Bahrain","4.81","1",
"BGD","Bangladesh","1.83","1",
"ARM","Armenia","5.54","1",
"BRB","Barbados","8.03","1",
"BEL","Belgium","12.07","1",
"BTN","Bhutan","0.6","6",
"BOL","Bolivia,PlurinationalStateof","2.41","2",
"BIH","BosniaandHerzegovina","5.69","1",
"BWA","Botswana","2","2",
"BRA","Brazil","6.68","1",
"BLZ","Belize","5.31","1",
"SLB","SolomonIslands","4.98","1",
"BRN","BruneiDarussalam","5.88","1",
"BGR","Bulgaria","6.52","1",
"MMR","Myanmar","2.29","1",
"BDI","Burundi","2.8","2",
"BLR","Belarus","5.83","1",
"KHM","Cambodia","2.44","1",
"CMR","Cameroon","4.12","1",
"CAN","Canada","8.89","1",
"CPV","CaboVerde","1.64","3",
"CAF","CentralAfricanRepublic","3.78","1",
"LKA","SriLanka","2.93","1",
"TCD","Chad","4.08","1",
"CHL","Chile","4.05","1",
"CHN","China","4.18","1",
"COL","Colombia","5.21","1",
"COM","Comoros","2.37","2",
"COG","Congo,Republicof","2.74","1",
"COD","Congo,DemocraticRepublicof","2.97","2",
"CRI","CostaRica","5.24","1",
"HRV","Croatia","7.55","1",
"CUB","Cuba","4.94","1",
"CYP","Cyprus","8.76","1",
"CZE","Czechia","7.82","1",
"BEN","Benin","2.58","1",
"DNK","Denmark","10.57","1",
"DOM","DominicanRepublic","6.23","1",
"ECU","Ecuador","4.13","1",
"SLV","ElSalvador","4.27","1",
"GNQ","EquatorialGuinea","3.84","1",
"ETH","Ethiopia","4.26","1",
"ERI","Eritrea","4.27","1",
"EST","Estonia","6.88","1",
"FJI","Fiji","6.71","1",
"FIN","Finland","10.3","1",
"FRA","France","10.55","1",
"GUF","FrenchGuiana","6.08","1",
"PYF","FrenchPolynesia","6.64","1",
"DJI","Djibouti","4.24","1",
"GAB","Gabon","3.55","1",
"GEO","Georgia","6.3","1",
"GMB","TheRepublicoftheGambia","1.03","2",
"PSE","GazaStripandWestBank","5.71","1",
"DEU","Germany","8.73","1",
"GHA","Ghana","3.93","1",
"GRC","Greece","7.63","1",
"GLP","France,Guadeloupe","7.14","1",
"GUA","Guam","4.16","1",
"GTM","Guatemala","3.19","1",
"GIN","Guinea","2.05","2",
"GUY","Guyana","5.31","1",
"HTI","Haiti","3.05","1",
"HND","Honduras","3.44","1",
"HUN","Hungary","8.4","1",
"ISL","Iceland","8.81","1",
"IND","India","2.81","1",
"IDN","Indonesia","4.83","1",
"IRN","Iran,IslamicRepublicof","3.67","1",
"IRQ","Iraq","5.72","1",
"IRL","Ireland","9.66","1",
"ISR","Israel","8.46","1",
"ITA","Italy","9.27","1",
"CIV","C�ted'Ivoire","4.68","1",
"JAM","Jamaica","6.7","1",
"JPN","Japan","7.98","1",
"KAZ","Kazakhstan","4.18","1",
"JOR","Jordan","6.36","1",
"KEN","Kenya","4.69","1",
"PRK","Korea,DemocraticRepublicof","3.49","1",
"KOR","Korea,Republicof","6.41","1",
"KWT","Kuwait","5.74","1",
"KGZ","Kyrgyzstan","2.61","1",
"LAO","LaoPeople'sDemocraticRepublic","3.9","1",
"LBN","Lebanon","6.23","1",
"LSO","Lesotho","2.02","2",
"LVA","Latvia","7.03","1",
"LBR","Liberia","3.42","2",
"LBY","Libya","3.65","1",
"LTU","Lithuania","6.71","1",
"LUX","Luxembourg","10.78","1",
"MDG","Madagascar","3.78","2",
"MWI","Malawi","2.66","2",
"MYS","Malaysia","5.29","1",
"MDV","Maldives","4.77","1",
"MLI","Mali","4.55","1",
"MLT","Malta","9.57","1",
"MTQ","France,Martinique","8.86","1",
"MRT","Mauritania","3.37","1",
"MUS","Mauritius","7.02","1",
"MEX","Mexico","4.33","1",
"MNG","Mongolia","1.17","5",
"MDA","RepublicofMoldova","4.93","1",
"MNE","Montenegro","7.99","1",
"MAR","Morocco","5.84","1",
"MOZ","Mozambique","2.22","2",
"OMN","Oman","4","1",
"NAM","Namibia","5.96","1",
"NPL","Nepal","1.47","2",
"NLD","TheNetherlands","10.75","1",
"NCL","France,NewCaledonia","10.61","1",
"VUT","Vanuatu","2.92","1",
"NZL","NewZealand","9.92","1",
"NIC","Nicaragua","3.79","1",
"NER","Niger","3.25","1",
"NGA","Nigeria","5.38","1",
"NOR","Norway","8.95","1",
"PAK","Pakistan","4.22","1",
"PAN","Panama","4.61","1",
"PNG","PapuaNewGuinea","4.98","1",
"PRY","Paraguay","6.11","1",
"PER","Peru","3.77","1",
"PHL","Philippines","5.66","1",
"POL","Poland","7.19","1",
"PRT","Portugal","7.43","1",
"GNB","Guinea-Bissau","2.71","2",
"TLS","Timor-Leste","2.72","1",
"PRI","PuertoRico","7.48","1",
"QAT","Qatar","4.91","1",
"REU","France,LaR�union","6.3","1",
"ROU","Romania","7.23","1",
"RUS","RussianFederation","6.12","1",
"RWA","Rwanda","3.16","1",
"LCA","SaintLucia","5.33","1",
"STP","SaoTomeandPrincipe","3.61","1",
"SAU","SaudiArabia","3.01","1",
"SEN","Senegal","3.37","2",
"SRB","Serbia","9.26","1",
"SLE","SierraLeone","4.03","1",
"SGP","Singapore","8.27","1",
"SVK","Slovakia","6.6","1",
"VNM","VietNam","3.69","1",
"SVN","Slovenia","7.58","1",
"SOM","Somalia","4.4","1",
"ZAF","SouthAfrica","5.6","1",
"ZWE","Zimbabwe","4.38","2",
"ESP","Spain","8.14","1",
"SSD","SouthSudan","2.71","1",
"SDN","Sudan","4.16","1",
"SUR","Suriname","5.61","1",
"SWZ","Eswatini","2.51","2",
"SWE","Sweden","9.23","1",
"CHE","Switzerland","9.84","1",
"SYR","SyrianArabRepublic","6.16","1",
"TJK","Tajikistan","2.06","2",
"THA","Thailand","4.12","1",
"TGO","Togo","3.21","1",
"TTO","TrinidadandTobago","5.84","1",
"ARE","UnitedArabEmirates","6.58","1",
"TUN","Tunisia","4.28","1",
"TUR","Turkey","4.89","1",
"TKM","Turkmenistan","3.24","1",
"UGA","Uganda","2.47","2",
"UKR","Ukraine","4.93","1",
"MKD","NorthMacedonia","6.46","1",
"EGY","Egypt","5.04","1",
"GBR","UnitedKingdom","9.42","1",
"TZA","Tanzania,UnitedRepublicof","2.74","2",
"USA","UnitedStatesofAmerica","9.81","1",
"BFA","BurkinaFaso","3.2","1",
"URY","Uruguay","7.02","1",
"UZB","Uzbekistan","2.77","1",
"VEN","Venezuela,BolivarianRepublicof","5.69","1",
"WSM","Samoa","9.06","1",
"YEM","Yemen","3.12","1",
"ZMB","Zambia","2.31","2",
